# delta=  0.0000E+00
#D           4*PI*D**2*PHI
   0.6000E+00   0.9031E+00
   0.7000E+00   0.9245E+00
   0.8000E+00   0.9094E+00
   0.9000E+00   0.8660E+00
   0.1000E+01   0.8022E+00
   0.1100E+01   0.7250E+00
   0.1200E+01   0.6404E+00
   0.1300E+01   0.5530E+00
   0.1400E+01   0.4665E+00
   0.1500E+01   0.3837E+00
   0.1600E+01   0.3061E+00
   0.1700E+01   0.2350E+00
   0.1800E+01   0.1708E+00
   0.1900E+01   0.1138E+00
   0.2000E+01   0.6361E-01
   0.2100E+01   0.2003E-01
   0.2200E+01  -0.1750E-01
   0.2300E+01  -0.4951E-01
   0.2400E+01  -0.7658E-01
   0.2500E+01  -0.9928E-01
   0.2600E+01  -0.1182E+00
   0.2700E+01  -0.1337E+00
   0.2800E+01  -0.1464E+00
   0.2900E+01  -0.1566E+00
   0.3000E+01  -0.1646E+00
   0.3100E+01  -0.1709E+00
   0.3200E+01  -0.1756E+00
   0.3300E+01  -0.1791E+00
   0.3400E+01  -0.1814E+00
   0.3500E+01  -0.1829E+00
   0.3600E+01  -0.1835E+00
   0.3700E+01  -0.1835E+00
   0.3800E+01  -0.1829E+00
   0.3900E+01  -0.1819E+00
   0.4000E+01  -0.1805E+00
   0.4100E+01  -0.1787E+00
   0.4200E+01  -0.1767E+00
   0.4300E+01  -0.1745E+00
   0.4400E+01  -0.1721E+00
   0.4500E+01  -0.1696E+00
   0.4600E+01  -0.1669E+00
   0.4700E+01  -0.1641E+00
   0.4800E+01  -0.1613E+00
   0.4900E+01  -0.1584E+00
   0.5000E+01  -0.1555E+00
   0.5100E+01  -0.1525E+00
   0.5200E+01  -0.1496E+00
   0.5300E+01  -0.1466E+00
   0.5400E+01  -0.1436E+00
   0.5500E+01  -0.1406E+00
   0.5600E+01  -0.1377E+00
   0.5700E+01  -0.1347E+00
   0.5800E+01  -0.1318E+00
   0.5900E+01  -0.1289E+00
